"County, State",Population,Income (Median),% Children in Poverty,Education (% completed High School),Education (% completed college),Social Association Rate,% Unemployed,Trama,Suicide rate,Homicide Rate,% Fair or Poor Health,% Excessive Drinking,Teen Birth Rate,% With Access to Exercise Opportunities,% Physically Inactive,Food Environment Index,% Adults with Obesity,% Adults Reporting Currently Smoking,% Low Birthweight,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Injury Death Rate,PTSD,Psychosis ,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Severe Housing Problems,% Long Commute - Drives Alone,% Insufficient Sleep,% Disconnected Youth,% Households with Broadband Access,Desert Y/N,% Living in Desert,Deppresion ,% Homeowners,% Households with Severe Cost Burden,Traffic Volume,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Other Primary Care Provider Ratio,% Less than 18 Years of Age,% 65 and Over,% Rural
"Pulaski, KENTUCKY",65795,46380,23,84,58,8.9,4.5,80.5,19,4,24,13,36,54,32,6.8,39,24,9,5.4,6.2,105,25.3,32,1392:1,1430:1,230:1,2878,40,30,15,21,41,9,81,Y,0.29,33,72,13,24,72.6,594,70,7,16,20,12,74,40,9,4,693:1,21.7,19.8,52.6
"Robertson, KENTUCKY",2229,53456,27,84,45,0.0,5.0,,,,23,14,28,2,31,4.9,42,25,9,5.0,6.0,149,,,,2229:0,,4141,24,41,22,58,40,,68,Y,1,,74,13,1,71.3,747,,,15,20,11,,,8,6,2229:1,21.1,22.9,100.0
"Rockcastle, KENTUCKY",16242,45161,30,82,45,6.2,4.6,77.3,20,,25,13,27,57,34,7.5,44,27,9,5.4,6.3,111,29.9,25,2014:1,8121:1,2320:1,4107,33,19,12,40,40,,76,Y,0.34,35,76,10,17,70.8,689,71,,17,21,12,58,54,9,4,706:1,21.1,19.6,100.0
"Rowan, KENTUCKY",24388,50498,26,87,52,5.2,4.6,118.7,14,,23,15,15,97,31,7.4,41,24,8,4.9,6.0,108,24.7,34,1554:1,1626:1,177:1,4716,36,44,12,23,39,,90,N,0,50,61,12,28,73.5,566,38,,15,21,11,98,62,8,4,339:1,19.8,15.0,62.0
"Russell, KENTUCKY",18178,44425,27,83,59,9.4,4.9,74.8,19,,24,14,37,63,32,7.2,41,25,8,5.0,5.7,99,36.7,51,2594:1,3636:1,606:1,2794,42,28,11,27,41,,77,Y,0.09,41,74,9,8,72.5,623,,,16,20,11,33,22,9,5,790:1,22.6,21.1,100.0
"Scott, KENTUCKY",59099,86169,10,94,70,7.4,3.0,84.4,16,4,17,17,18,70,25,8.2,40,17,7,3.9,5.0,85,17.8,18,1713:1,2364:1,882:1,2210,43,45,9,28,36,,90,Y,0.19,45,73,7,69,76.1,431,30,5,12,17,9,95,37,6,3,1037:1,24.1,13.2,32.3
"Shelby, KENTUCKY",48886,81815,12,89,63,9.5,3.4,74.3,18,4,19,16,19,70,27,9.1,36,18,9,4.2,5.0,81,19.1,19,2851:1,2328:1,549:1,2104,46,50,11,43,39,9,91,Y,0.39,49,73,9,45,77.2,389,64,5,12,17,10,142,31,9,5,959:1,21.5,17.2,51.8
"Simpson, KENTUCKY",19949,58550,19,90,57,10.1,3.4,72.2,19,,20,15,28,53,29,8.0,39,21,10,4.6,5.8,87,17.4,32,3944:1,1995:1,997:1,3139,35,46,10,28,39,33,84,N,0,28,66,14,45,72.9,569,76,,13,19,10,110,25,7,4,798:1,22.9,17.1,40.6
"Spencer, KENTUCKY",20204,101552,10,93,62,5.5,3.9,54.1,22,,17,16,16,40,25,,36,18,8,4.1,5.3,79,12.8,27,3319:1,4041:1,5051:1,2626,39,45,9,67,37,12,89,Y,1,30,86,7,1,76.7,392,,,12,17,9,,24,6,4,2245:1,22.5,15.7,100.0
"Taylor, KENTUCKY",26407,52414,24,88,60,14.5,3.7,72.8,13,,20,16,30,68,30,7.8,40,22,9,4.6,5.8,104,29.7,30,1381:1,3301:1,388:1,3218,42,40,8,24,40,,86,Y,0.24,38,68,7,26,72.6,591,44,,14,19,10,46,36,7,4,508:1,22.7,18.5,50.9
"Todd, KENTUCKY",12404,53280,23,79,46,16.3,3.2,39.1,16,,24,14,28,34,33,7.7,41,25,7,5.2,6.0,115,17.4,30,6143:1,12404:1,2481:1,2656,34,36,13,36,41,17,68,Y,1,37,75,8,4,73.7,565,,,16,20,12,131,32,13,8,564:1,27.1,16.9,100.0
"Trigg, KENTUCKY",14332,56433,21,88,65,18.3,4.5,80.5,20,,21,14,29,65,29,7.8,42,21,9,4.6,5.9,109,23,13,,7166:1,7166:1,3154,39,41,13,39,37,,75,Y,1,25,79,12,6,73.0,559,95,,14,19,11,83,,8,4,896:1,21.6,23.3,100.0
"Trimble, KENTUCKY",8539,65828,16,86,49,7.0,4.3,85.6,29,,21,15,30,45,30,,41,23,9,4.7,5.9,136,26.2,48,4265:1,8539:1,4270:1,4598,38,42,14,53,38,,74,Y,1,40,81,10,4,72.7,633,,,14,19,10,0,43,8,5,1708:1,22.0,17.9,100.0
"Union, KENTUCKY",12961,58223,25,91,48,11.8,4.3,60.2,25,,22,15,36,69,31,5.8,40,24,14,4.8,5.9,113,24.8,14,4515:1,1620:1,1852:1,4338,45,32,4,29,41,37,85,Y,0.3,23,73,10,11,73.9,542,76,,15,19,11,109,28,8,4,1296:1,18.2,20.4,100.0
"Warren, KENTUCKY",139843,60651,20,89,66,8.7,3.6,94.9,16,5,20,15,17,66,27,7.8,39,20,9,4.5,5.8,70,21.9,27,1525:1,1520:1,303:1,2792,44,47,16,19,38,3,90,Y,0.26,38,57,14,61,75.8,456,54,6,13,18,11,155,22,10,4,703:1,23.1,13.6,27.3
"Washington, KENTUCKY",12061,59937,18,88,59,13.3,3.4,67.5,18,,20,15,23,18,29,8.0,42,21,10,4.5,5.6,96,19.6,46,3018:1,2010:1,709:1,2696,40,42,8,36,38,,76,Y,0.46,22,79,9,4,75.4,452,,,13,19,10,139,30,8,6,1340:1,22.6,19.6,100.0
"Wayne, KENTUCKY",19681,39863,39,76,43,6.7,5.0,68.8,26,,26,13,46,34,36,6.5,43,27,9,5.4,5.9,105,18.5,26,1954:1,3280:1,635:1,3164,33,32,10,30,40,,77,Y,0.33,30,74,12,18,73.2,592,,,17,21,12,96,23,9,4,820:1,20.2,22.7,65.8
"Webster, KENTUCKY",12726,56052,21,86,48,17.2,3.9,44.5,30,,24,14,46,25,33,6.6,40,25,12,5.0,5.9,113,20.4,28,6407:1,6363:1,2121:1,4181,41,43,10,43,40,,79,Y,0.72,20,72,8,1,71.9,615,76,,15,20,12,,,10,6,670:1,23.4,18.8,100.0
"Whitley, KENTUCKY",36873,43604,35,82,53,8.4,4.4,94.6,23,11,24,15,44,70,32,7.1,42,26,11,5.1,6.3,126,27.2,44,1154:1,1317:1,57:1,2525,31,30,14,31,39,,78,Y,0.22,47,67,13,36,70.0,765,59,5,16,21,12,27,36,8,3,277:1,25.8,16.0,63.7
"Wolfe, KENTUCKY",6400,37718,43,64,32,0.0,5.6,92.7,34,,34,12,45,32,42,5.4,43,35,9,6.4,6.7,179,25.9,22,3254:1,6400:1,457:1,3834,25,29,17,43,42,,72,Y,0.41,26,68,7,6,65.8,945,144,,21,25,15,,82,10,5,492:1,22.4,20.3,100.0
"Woodford, KENTUCKY",27062,76633,14,91,70,8.9,3.0,62.1,18,,16,15,13,84,24,7.9,36,16,8,3.8,5.0,100,23.9,32,1289:1,2082:1,846:1,2453,45,54,11,35,36,,89,Y,0.23,28,72,8,41,76.5,438,46,,11,16,9,118,45,7,5,1230:1,21.2,21.2,37.2
"Adams, INDIANA",36068,60620,18,87,50,14.5,2.2,50.5,8,,20,16,20,56,29,8.2,40,23,7,4.3,5.6,67,12.1,19,2569:1,2576:1,2576:1,2442,39,41,16,21,35,19,76,Y,0.18,33,82,8,35,76.6,410,93,9,13,19,11,22,17,14,11,1503:1,31.0,16.5,70.8
"Allen, INDIANA",391449,65967,14,90,67,11.0,2.9,80.9,15,11,16,17,22,85,24,7.5,38,18,9,3.8,5.2,88,21.5,27,1354:1,1450:1,432:1,2985,44,52,11,20,33,6,89,Y,0.07,39,69,10,81,76.0,425,67,7,11,16,11,189,33,11,6,440:1,25.1,15.7,12.9
"Bartholomew, INDIANA",83540,68910,13,92,69,10.5,2.4,105,16,3,15,16,23,71,24,7.6,36,16,8,3.4,4.5,85,23.7,31,1269:1,1266:1,546:1,2954,47,60,11,21,33,8,90,Y,0.41,51,70,11,67,76.9,414,59,8,10,15,10,88,30,10,6,739:1,24.0,17.2,30.7
"Benton, INDIANA",8719,62248,14,89,61,6.9,2.4,108.8,27,,19,16,17,48,30,8.1,41,23,7,4.2,5.6,94,44.2,27,4357:1,2180:1,2180:1,2988,51,48,11,50,36,,85,Y,1,51,78,8,10,75.9,469,,,13,19,12,138,,13,9,,24.2,18.2,100.0
"Blackford, INDIANA",11919,54825,19,90,56,13.2,3.5,72.7,,,20,15,35,42,32,7.0,41,24,7,4.5,5.7,94,13.8,33,1511:1,5960:1,2980:1,1826,37,37,10,39,37,,84,Y,0.29,24,76,12,40,73.0,586,,,14,19,12,,34,9,5,2384:1,22.1,22.0,49.3
"Boone, INDIANA",74164,102805,5,95,81,10.8,2.0,72.2,16,4,12,18,9,83,20,9.2,34,13,7,3.0,4.4,72,19.9,24,474:1,2060:1,693:1,2511,46,56,9,40,32,,93,Y,0.19,39,80,9,68,78.0,335,46,4,9,14,8,92,31,6,4,904:1,25.1,15.0,27.2
"Brown, INDIANA",15570,74161,14,93,63,9.6,3.3,80.4,24,,15,16,13,49,24,8.9,36,18,8,3.5,5.2,96,22.2,29,3110:1,15570:1,1112:1,2312,48,50,14,57,33,,87,Y,1,21,86,9,5,77.5,391,,,11,17,9,94,31,10,7,2595:1,16.5,26.7,100.0
"Carroll, INDIANA",20555,64731,13,90,58,12.2,2.9,77.3,13,7,16,17,18,62,26,9.0,40,19,7,3.8,5.2,76,18.2,15,10222:1,2569:1,1285:1,2809,39,49,8,43,38,,80,Y,1,45,79,6,3,79.5,328,56,,11,17,10,29,20,10,7,1285:1,21.6,20.7,94.6
"Cass, INDIANA",37540,60452,19,86,44,11.4,3.2,100.4,15,,20,16,32,74,33,8.2,40,22,8,4.1,5.3,90,32.8,16,2210:1,3128:1,417:1,3217,46,44,11,24,35,,81,Y,0.18,53,75,9,75,75.6,450,95,10,13,18,12,95,19,13,7,894:1,22.4,19.1,46.2
"Clark, INDIANA",124237,68493,13,91,63,8.5,2.7,99.9,15,5,16,18,22,88,26,8.4,39,19,8,3.7,5.2,105,28.7,33,2611:1,2588:1,413:1,3668,45,49,10,30,38,5,85,Y,0.19,44,74,8,90,73.8,538,50,7,11,17,10,237,48,9,5,796:1,21.6,17.0,21.3
"Clay, INDIANA",26379,59057,17,91,56,14.4,3.3,71.3,17,,16,17,32,53,27,8.0,41,20,8,3.8,5.5,73,18.3,32,2032:1,4397:1,2198:1,3520,40,38,8,48,34,,86,Y,0.28,37,78,6,48,75.6,434,84,9,12,18,10,86,,9,6,1649:1,22.8,19.2,60.0
"Clinton, INDIANA",32843,60916,15,87,47,12.1,2.5,101.6,23,,18,17,27,69,29,8.8,38,20,8,3.9,5.0,96,32.6,33,6613:1,2190:1,2053:1,2393,44,51,10,28,37,,82,Y,0.25,62,73,7,67,75.3,472,59,7,12,17,11,104,33,14,8,3649:1,26.1,16.8,49.5
"Crawford, INDIANA",10536,53547,25,86,45,3.8,3.5,96.7,,,21,15,30,74,33,7.4,43,25,10,4.4,5.7,89,36,31,,,1505:1,2367,40,39,11,67,36,,66,Y,1,40,79,10,3,74.2,553,,,14,20,12,89,47,12,7,2107:1,20.8,21.0,100.0
"Daviess, INDIANA",33418,63777,14,77,44,14.1,2.3,67.9,10,,20,17,20,52,31,8.4,36,23,6,4.3,5.3,65,9,25,2386:1,3342:1,1152:1,3071,42,36,14,26,35,11,79,Y,0.43,33,70,8,38,76.5,417,45,,13,19,11,118,,19,21,760:1,29.4,15.9,61.3
"Dearborn, INDIANA",51138,77621,12,91,66,10.8,2.6,124.7,24,3,15,17,15,57,24,8.1,37,19,7,3.7,4.8,86,47,30,2209:1,4262:1,556:1,3424,46,53,9,51,35,,88,Y,0.37,86,83,8,36,76.6,416,39,,11,17,10,44,30,8,5,1218:1,21.8,19.3,60.2
"Decatur, INDIANA",26416,65847,14,91,63,14.4,2.6,104.6,11,,16,18,27,55,26,8.3,40,19,7,3.6,5.3,63,28.2,28,1645:1,2642:1,2401:1,2643,43,31,8,29,34,17,86,Y,0.27,61,74,8,49,74.5,466,68,,11,17,10,87,36,8,5,1101:1,23.3,17.7,52.7
"DeKalb, INDIANA",43731,72910,12,91,53,14.1,2.6,85.3,13,,16,19,24,61,28,8.0,38,20,7,3.7,5.6,70,28.1,29,2167:1,2302:1,1562:1,2497,42,48,8,25,32,8,83,Y,0.31,37,82,7,48,75.9,429,70,,11,17,10,64,22,10,6,1286:1,24.0,17.3,53.0
"Delaware, INDIANA",112031,54059,21,91,65,13.1,3.5,120.5,17,6,18,16,14,78,26,6.6,39,22,8,4.1,5.8,116,34.3,29,874:1,1535:1,308:1,3930,43,54,16,23,36,5,86,Y,0.1,56,66,14,68,73.1,578,65,8,13,18,11,137,57,10,4,714:1,17.8,17.7,23.1
"Dubois, INDIANA",43632,71171,10,90,61,12.4,2.2,64.7,17,,15,16,17,75,25,8.6,39,18,8,3.6,5.0,67,18.2,16,1320:1,1283:1,727:1,1999,46,50,8,15,34,,84,Y,0.13,26,77,9,42,78.1,341,44,7,11,17,10,61,12,9,6,949:1,24.1,19.0,47.6
"Elkhart, INDIANA",206890,63777,16,82,46,12.7,2.5,67.5,12,5,19,15,28,73,30,8.0,38,20,7,3.9,5.4,64,18,26,2049:1,2434:1,589:1,2333,42,50,12,22,35,8,87,Y,0.14,35,71,11,78,77.0,405,68,9,12,17,11,124,15,15,9,949:1,26.9,15.8,23.3
"Fayette, INDIANA",23349,54892,19,85,50,12.4,4.4,117.3,20,,20,16,38,69,31,6.9,41,24,7,4.4,5.7,151,36.2,39,2336:1,2919:1,973:1,3989,39,44,12,37,35,,82,Y,0.13,54,70,11,69,71.8,617,77,12,14,19,11,71,88,10,6,1459:1,21.8,20.8,38.5
"Floyd, INDIANA",80714,74264,13,92,67,10.3,2.5,91.7,14,4,15,17,16,85,24,8.3,37,17,8,3.7,5.1,92,20.9,29,1788:1,1170:1,626:1,2510,49,51,9,29,35,,85,Y,0.08,41,74,8,133,75.0,469,50,5,11,17,9,158,47,8,6,542:1,22.3,17.6,34.1
"Fountain, INDIANA",16574,63973,16,89,59,15.2,2.8,66.5,18,,17,16,25,52,27,8.1,38,21,8,4.0,5.4,91,18.3,17,4107:1,2762:1,1105:1,3500,44,42,9,44,34,,86,Y,0.86,23,74,8,15,73.7,539,64,,12,18,11,36,32,9,5,2762:1,21.3,20.4,100.0
"Franklin, INDIANA",23028,74779,12,90,59,5.3,2.7,93.5,21,,16,17,18,43,25,8.7,34,20,7,3.6,5.1,98,29.3,18,1428:1,1439:1,3290:1,3324,46,49,7,51,34,,82,Y,0.44,47,81,8,21,76.2,436,48,,11,17,10,31,35,9,6,2093:1,22.4,19.8,88.9
"Fulton, INDIANA",20327,62412,17,87,53,17.7,3.0,110.7,17,,17,16,26,39,27,8.0,36,21,8,3.9,5.1,88,36,35,2039:1,2259:1,1196:1,2135,42,34,10,37,35,,86,Y,0.27,46,78,12,34,74.4,544,92,12,12,18,11,88,36,12,7,1694:1,23.3,20.5,64.2
"Gibson, INDIANA",32993,66247,12,91,60,14.9,2.2,65.2,19,,16,16,24,67,26,8.5,37,20,8,3.8,5.5,85,18.1,28,2533:1,1736:1,2538:1,2451,54,54,10,29,32,,86,Y,0.53,30,76,8,39,76.9,395,46,,12,17,10,58,10,8,5,1222:1,23.6,18.0,74.7
"Grant, INDIANA",66022,51053,29,89,58,15.4,3.3,78.3,20,7,19,16,25,73,30,7.0,40,23,10,4.2,5.9,120,25.9,19,2367:1,1572:1,339:1,3841,44,45,12,25,35,5,84,Y,0.18,40,72,12,59,71.9,620,99,9,13,19,11,126,49,10,5,1000:1,21.2,19.7,38.6
"Greene, INDIANA",31006,61663,18,88,58,15.9,3.8,85.9,16,,18,16,25,45,28,7.6,37,22,9,4.0,5.5,87,30,26,3421:1,2215:1,1409:1,3743,39,37,13,44,36,,79,Y,0.69,30,75,10,24,74.7,482,76,,12,18,11,88,19,11,7,1723:1,21.4,20.3,82.8
"Hamilton, INDIANA",364921,117068,4,97,87,9.8,2.1,78.6,11,1,10,17,4,92,17,9.0,29,10,7,2.5,4.2,46,17.4,23,721:1,1347:1,541:1,2105,53,60,8,43,27,4,96,Y,0.01,35,76,7,86,81.0,228,36,5,8,13,8,95,13,6,4,861:1,25.0,14.0,5.7
"Hancock, INDIANA",83070,87845,5,93,75,8.2,2.6,77.4,14,2,13,17,9,69,22,8.4,33,16,6,3.4,4.4,70,18.8,33,1203:1,2967:1,884:1,2495,52,57,8,43,33,,91,Y,0.05,42,80,7,45,77.9,357,34,4,10,15,9,93,25,7,5,1567:1,22.8,17.3,27.7
"Harrison, INDIANA",39851,72259,10,90,55,7.5,2.5,79.6,18,4,16,18,19,42,26,8.9,38,20,8,3.9,5.3,96,21.9,41,2093:1,2491:1,2491:1,2875,49,50,7,55,34,,80,Y,0.48,41,83,5,9,74.8,492,59,,12,18,10,71,41,8,6,1423:1,21.8,19.7,85.6
"Hendricks, INDIANA",182534,94760,6,93,73,8.4,2.4,80.9,14,2,13,18,8,77,22,8.8,34,15,7,3.1,4.8,66,22.9,25,2062:1,2147:1,770:1,2518,52,56,8,41,35,3,93,Y,0.09,46,78,7,65,78.8,299,33,5,9,14,9,128,24,7,4,966:1,24.1,15.1,15.2
"Henry, INDIANA",48915,54714,16,91,53,13.3,3.2,84.3,18,4,17,17,23,77,27,7.7,38,21,8,3.9,5.2,93,19.6,27,2447:1,2718:1,923:1,4151,39,36,10,36,36,14,84,Y,0.28,33,75,9,40,74.2,534,55,6,12,17,11,119,24,9,4,906:1,20.2,19.8,62.1
"Howard, INDIANA",83574,56960,21,91,60,14.6,5.0,113.7,18,7,17,16,28,73,27,7.2,42,20,9,3.9,5.0,118,32.7,39,1819:1,1114:1,442:1,3214,45,45,10,22,35,4,86,Y,0.18,54,72,9,64,73.0,574,64,7,12,17,11,176,47,8,4,727:1,22.6,20.1,25.7
"Huntington, INDIANA",36834,59491,14,93,62,16.6,2.6,94.5,15,,16,16,21,76,24,7.7,38,20,9,3.8,5.2,86,21.3,36,1836:1,2456:1,877:1,2937,47,49,10,32,35,,83,Y,0.21,54,76,8,48,75.4,442,56,,12,17,10,100,35,9,6,1417:1,21.6,18.6,52.1
"Jackson, INDIANA",46300,66082,12,90,55,12.2,2.7,94.9,19,4,18,17,40,74,27,7.4,41,20,7,3.9,5.1,104,29.7,33,1486:1,1597:1,1129:1,1568,43,51,11,30,35,,80,Y,0.28,43,73,8,70,75.0,465,59,6,12,17,11,145,37,12,7,723:1,24.4,17.7,47.8
"Jasper, INDIANA",33281,75738,13,93,58,12.4,3.3,83,15,,16,18,16,59,25,8.4,35,19,8,3.7,5.0,92,22.4,44,4136:1,2773:1,1752:1,2870,41,43,9,49,37,,89,Y,0.43,45,81,6,15,76.0,435,52,9,11,17,10,93,28,10,6,1109:1,22.7,18.9,83.3
"Jay, INDIANA",20198,57690,21,87,50,13.8,2.7,69.3,24,,19,17,30,49,30,7.2,38,23,9,4.2,5.7,125,21.5,26,3375:1,4040:1,1122:1,1510,44,49,10,26,36,,79,Y,0.39,37,77,9,26,74.2,505,71,11,13,19,11,72,46,10,5,1554:1,25.2,19.0,68.9
"Jefferson, INDIANA",32946,64214,15,88,50,11.8,2.8,88.7,17,,17,17,26,69,28,8.0,39,21,8,3.9,5.6,102,22.9,26,1657:1,1647:1,804:1,3379,46,52,11,28,37,,80,Y,0.35,26,70,9,41,75.0,473,76,,12,18,10,123,27,9,6,867:1,19.8,19.5,47.4
"Jennings, INDIANA",27536,63597,17,89,51,5.5,3.3,86.6,26,,17,18,38,35,28,7.3,38,21,7,4.1,5.7,111,23.8,34,2284:1,3934:1,888:1,2596,40,45,10,34,36,,85,Y,0.33,37,81,9,44,73.7,548,68,,12,18,11,35,39,9,5,1620:1,23.0,17.1,74.9
"Johnson, INDIANA",165782,83036,9,93,69,8.6,2.4,94.2,16,2,14,17,14,83,24,8.5,39,17,7,3.4,4.9,70,24.8,32,1245:1,1480:1,786:1,2863,46,54,10,42,32,7,91,Y,0.08,43,74,11,73,76.9,373,50,6,10,16,10,122,31,9,5,754:1,24.0,15.8,12.7
"Knox, INDIANA",35789,58238,18,89,56,17.2,2.7,81.5,17,4,18,16,23,62,29,7.9,40,22,9,4.1,5.1,92,23.3,18,1383:1,1988:1,465:1,3010,45,51,13,23,36,,85,Y,0.4,36,65,8,54,73.9,541,56,8,12,18,11,102,12,10,5,596:1,21.1,18.9,45.4
"Kosciusko, INDIANA",80826,71611,13,88,58,15.9,2.5,75.2,13,,16,18,23,60,25,8.4,37,19,7,3.6,4.9,69,19.5,24,2289:1,3109:1,515:1,3371,45,46,11,21,34,,85,Y,0.51,35,76,9,44,76.8,417,53,7,11,17,10,57,19,12,8,1443:1,23.2,18.6,48.4
"LaGrange, INDIANA",40866,81010,9,61,27,7.6,2.2,33.8,14,,20,19,13,31,30,9.2,36,24,5,4.3,5.6,52,10.4,15,4052:1,3144:1,1635:1,2644,36,47,10,34,35,15,66,Y,0.14,19,83,7,9,78.6,322,63,6,13,18,11,45,8,24,26,1858:1,31.4,14.4,100.0
"Lake, INDIANA",499689,66169,21,90,60,9.1,4.6,60.3,12,17,17,17,20,93,26,7.5,41,19,9,3.8,5.4,98,15.4,17,1971:1,1576:1,463:1,4285,41,43,14,42,37,7,86,N,0,35,71,13,124,74.7,497,67,8,12,16,12,258,37,11,6,836:1,23.0,17.9,4.5
"LaPorte, INDIANA",111675,66336,21,90,51,10.2,3.7,66.5,21,6,18,16,26,59,28,7.6,36,20,9,4.0,5.1,101,19.5,22,2676:1,1801:1,852:1,3500,42,51,12,32,38,12,87,Y,0.32,37,74,11,70,74.8,491,67,8,12,17,12,208,38,9,5,915:1,21.0,19.5,36.5
"Lawrence, INDIANA",45222,60141,15,89,57,14.0,3.3,98.3,16,,17,16,25,75,26,8.2,42,20,8,4.0,5.0,88,20.9,33,2504:1,2261:1,1052:1,1459,49,46,10,38,34,,83,Y,0.39,35,79,8,42,74.6,503,59,6,12,18,10,96,29,10,5,1103:1,21.1,20.7,67.9
"Madison, INDIANA",131744,58926,20,90,55,12.8,3.3,97.7,21,6,18,16,28,70,31,6.6,43,21,9,4.1,5.3,114,24.1,29,2076:1,1780:1,662:1,3064,41,49,13,41,40,6,86,Y,0.26,45,70,12,51,73.8,535,60,7,13,18,11,199,41,11,4,998:1,21.2,19.0,24.6
"Marion, INDIANA",969466,62776,21,87,63,11.4,3.2,80.6,15,20,19,17,28,91,28,7.2,37,20,10,3.9,5.4,122,18.8,23,1283:1,1063:1,274:1,3372,44,51,17,31,38,8,87,N,0,37,55,15,191,73.8,544,82,8,12,17,12,625,59,12,5,483:1,24.4,13.5,0.9
"Marshall, INDIANA",46332,70938,13,86,50,15.0,2.6,74,17,,18,16,20,63,28,8.3,37,20,7,3.9,5.3,77,16.1,28,1922:1,2206:1,827:1,2303,41,46,12,34,34,,78,Y,0.59,44,76,8,35,76.8,408,59,8,12,17,10,47,22,14,10,1324:1,24.3,18.9,73.4
"Martin, INDIANA",9803,64216,17,89,59,15.3,2.7,51.6,,,17,17,23,49,26,8.1,40,21,7,4.1,5.4,91,16.5,,3260:1,4902:1,4902:1,2218,40,27,10,49,35,,80,Y,0.64,10,79,9,34,76.2,456,,,12,18,10,85,,10,7,3268:1,21.7,21.3,100.0
"Miami, INDIANA",35674,60835,19,87,47,13.9,4.1,81.3,16,6,19,18,26,57,29,7.2,38,23,8,4.1,5.4,82,28.9,26,4510:1,3964:1,1551:1,3009,43,37,10,31,37,,83,Y,0.49,33,75,9,34,74.5,505,69,,13,18,11,117,26,10,5,1982:1,20.8,18.5,45.6
"Monroe, INDIANA",139745,64299,14,95,81,9.5,2.8,112.8,12,3,15,20,6,88,22,7.7,34,16,8,3.9,5.5,60,27.8,31,1706:1,1625:1,288:1,1831,49,57,18,19,33,2,89,Y,0.12,42,55,19,78,78.5,346,38,6,11,17,11,189,27,10,5,747:1,15.6,14.8,21.2
"Montgomery, INDIANA",38273,66283,16,89,57,11.0,2.5,96.6,17,4,17,17,29,63,26,8.2,36,20,8,3.8,5.0,91,17.6,32,3460:1,1418:1,851:1,2420,50,55,10,31,35,,87,Y,0.38,48,75,10,48,76.8,409,51,,12,17,11,113,32,9,6,1367:1,22.6,19.0,52.9
"Morgan, INDIANA",72236,75542,12,90,56,9.1,2.8,89,22,,16,18,17,68,27,8.3,37,19,8,3.6,5.3,98,25.6,31,2490:1,2125:1,1111:1,2124,46,51,9,54,34,7,88,Y,0.43,37,82,9,52,75.8,431,44,4,11,17,10,100,32,10,7,1290:1,21.7,18.4,54.1
"Newton, INDIANA",13823,66837,16,87,48,5.8,3.6,65.1,16,,17,18,20,28,29,8.0,37,21,7,3.9,5.4,120,26.4,24,13808:1,6912:1,13823:1,2056,36,41,8,47,35,,88,Y,1,28,83,11,10,74.4,504,94,,12,18,10,51,38,13,9,2765:1,20.5,20.7,100.0
"Noble, INDIANA",47367,69567,13,83,45,10.8,2.8,73.7,14,3,17,17,26,61,26,8.6,40,20,7,3.9,5.5,72,24.2,31,2952:1,3947:1,987:1,3007,41,48,9,36,34,7,83,Y,0.59,46,77,6,22,75.8,425,79,9,12,17,10,56,19,14,10,2256:1,24.2,17.7,77.7
"Ohio, INDIANA",6114,70618,12,93,69,8.4,2.2,70.9,,,16,17,18,64,26,,37,20,8,3.8,5.3,82,33.1,33,5978:1,3057:1,,3591,41,50,8,51,34,,82,Y,0.6,66,77,6,3,77.8,426,,,11,17,10,,,9,7,3057:1,20.3,23.4,100.0
"Orange, INDIANA",19623,54128,20,85,50,11.1,3.4,76.8,14,,19,15,30,70,29,8.1,38,23,9,4.2,5.5,92,15.9,41,2479:1,3271:1,1402:1,1455,37,39,8,34,35,,83,Y,0.17,28,78,9,19,73.8,541,76,,13,19,11,90,19,11,7,1308:1,22.5,20.8,100.0
"Owen, INDIANA",21482,62460,20,86,52,9.8,3.2,78.3,21,,19,17,22,39,28,8.2,37,23,9,4.2,5.6,94,20.7,32,7149:1,5371:1,976:1,2558,38,45,12,53,38,,79,Y,0.82,30,80,9,19,73.5,540,94,,13,18,11,93,25,12,9,1343:1,20.3,21.0,100.0
"Parke, INDIANA",16369,64700,21,85,47,14.0,3.0,75.2,14,,20,15,14,47,31,7.6,42,24,6,4.4,5.8,58,30.7,29,3281:1,5456:1,1259:1,4444,42,46,13,48,36,,76,Y,0.71,23,82,9,8,78.2,381,76,,14,20,12,130,,13,10,2046:1,22.4,20.9,99.4
"Perry, INDIANA",19183,55503,17,91,58,9.8,3.1,73,14,,16,18,31,90,25,8.0,40,20,10,3.7,5.2,66,11.2,27,2146:1,3197:1,1279:1,2247,45,41,10,29,34,,81,Y,0.45,32,75,8,51,77.1,396,,,11,17,10,103,,8,4,1279:1,20.5,19.5,54.3
"Pike, INDIANA",12168,63487,16,90,51,18.9,3.2,91.1,14,,17,17,26,46,27,8.7,38,21,9,3.9,5.4,73,23.9,17,3036:1,12168:1,2434:1,3867,36,31,6,43,34,,76,Y,1,52,86,6,18,75.4,484,,,12,18,10,,,10,7,2028:1,22.1,21.1,100.0
