"County, State",Population,Income (Median),% Children in Poverty,Education (% completed High School),Education (% completed college),Social Association Rate,% Unemployed,Trama,Suicide rate,Homicide Rate,% Fair or Poor Health,% Excessive Drinking,Teen Birth Rate,% With Access to Exercise Opportunities,% Physically Inactive,Food Environment Index,% Adults with Obesity,% Adults Reporting Currently Smoking,% Low Birthweight,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Injury Death Rate,PTSD,Psychosis ,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Severe Housing Problems,% Long Commute - Drives Alone,% Insufficient Sleep,% Disconnected Youth,% Households with Broadband Access,Desert Y/N,% Living in Desert,Deppresion ,% Homeowners,% Households with Severe Cost Burden,Traffic Volume,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Other Primary Care Provider Ratio,% Less than 18 Years of Age,% 65 and Over,% Rural
"Richland, MONTANA",11237,72974,11,96,61,20.4,2.6,60.5,37,,13,23,19,55,23,8.1,35,17,6,3.2,4.7,94,10.4,23,3761:1,2809:1,749:1,1185,45,44,13,26,30,,84,Y,1,35,69,13,45,76.8,394,92,,10,16,8,,,10,9,936:1,25.2,17.0,43.2
"Roosevelt, MONTANA",10572,48712,28,93,55,4.6,3.5,73.7,36,15,24,21,62,19,30,6.8,41,28,9,4.9,5.8,191,19.5,24,1546:1,1510:1,481:1,2776,37,31,12,28,36,,68,Y,1,30,66,10,17,61.2,1277,113,,16,20,14,,,20,9,705:1,33.7,11.9,100.0
"Rosebud, MONTANA",8088,64003,25,90,63,16.0,3.4,40.8,40,16,19,20,36,51,26,7.1,36,24,8,4.3,5.7,188,,,2031:1,1618:1,404:1,3254,35,30,18,14,33,,70,Y,1,26,64,14,5,67.6,852,100,,14,18,11,,,18,11,578:1,29.4,16.8,100.0
"Sanders, MONTANA",13442,47976,25,91,56,6.2,4.3,42.5,32,,17,17,15,76,27,7.0,32,21,7,4.1,4.9,123,20.2,18,1296:1,3361:1,373:1,1376,34,21,16,28,34,,83,Y,1,14,78,15,0,75.5,477,118,,13,18,9,61,,17,12,1222:1,16.8,32.5,100.0
"Sheridan, MONTANA",3564,62982,17,90,64,22.7,1.9,41.9,,,13,21,,63,23,7.9,33,17,7,3.3,4.8,141,,,3527:1,3564:1,509:1,2061,42,38,11,17,32,,84,Y,1,,77,10,15,77.3,352,,,10,16,8,,,11,10,891:1,20.6,25.8,100.0
"Silver Bow, MONTANA",36068,58898,17,94,62,8.8,2.9,82.9,37,4,15,23,17,84,24,8.4,32,18,10,3.6,5.4,115,18.7,34,1265:1,1093:1,165:1,1736,46,49,13,12,33,,83,N,0,31,70,13,75,74.8,485,47,,11,17,9,60,32,10,6,736:1,19.8,19.7,13.9
"Stillwater, MONTANA",9177,81147,10,93,60,14.4,2.2,64.1,32,,13,22,12,37,21,9.3,33,16,8,3.2,4.8,99,12.8,15,3015:1,3059:1,1530:1,1489,47,34,9,35,31,,84,Y,1,38,84,8,9,78.1,338,,,10,15,8,,,10,9,2294:1,20.4,24.9,100.0
"Sweet Grass, MONTANA",3715,68006,13,96,59,13.4,2.0,35.6,,,13,21,,73,21,9.3,34,16,6,3.2,5.1,70,,,1241:1,3715:1,619:1,1709,41,23,11,27,32,,86,Y,1,36,76,9,9,82.6,255,,,10,16,8,0,,11,10,1858:1,18.9,28.6,100.0
"Teton, MONTANA",6368,57054,14,90,63,22.3,2.7,53.4,,,14,22,12,51,24,7.1,32,18,10,3.4,5.1,133,,29,3135:1,2123:1,708:1,1422,48,32,11,29,31,,82,Y,1,29,76,11,0,76.3,428,,,11,17,8,,,13,11,455:1,24.4,23.4,100.0
"Toole, MONTANA",5082,49850,17,87,51,8.0,2.0,63.8,,,15,23,17,67,24,8.3,32,19,12,3.7,4.8,66,29.4,,1670:1,1271:1,635:1,1365,34,18,13,14,33,,87,Y,1,29,65,10,8,77.2,459,,,11,16,9,,,14,8,1271:1,21.1,18.0,100.0
